id,text,aspect_category,sentiment_prob
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",Agus-Sylvi,"[0.0, 0.1, 0.9]"
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,Agus-Sylvi,"[0.1, 0.8, 0.1]"
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,Ahok-Djarot,"[0.0, 0.1, 0.9]"
19,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,Agus-Sylvi,"[0.8, 0.2, 0.0]"
61,#AHY antasari konferensi pers sby sby Konferensi Pers SBY seperti Rengekan Anak Kecil,Agus-Sylvi,"[0.05, 0.15, 0.8]"
62,Tim yang tidak pernah tidur #ahy,Agus-Sylvi,"[0.85, 0.1, 0.05]"
63,Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik,Agus-Sylvi,"[0.05, 0.1, 0.85]"
64,Kasihan #AHY Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.,Agus-Sylvi,"[0.1, 0.2, 0.7]"
65,amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati,Agus-Sylvi,"[0.7, 0.2, 0.1]"
66,Pada Pilkada DKI AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.,Agus-Sylvi,"[0.05, 0.15, 0.8]"
67,AHY masih mentah tapi mau dikarbit demokrat melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja,Agus-Sylvi,"[0.05, 0.1, 0.85]"
68,Akibat pernyataan Antasari suara AHY melorot pada Pilkada DKI.,Agus-Sylvi,"[0.05, 0.1, 0.85]"
69,Enam bulan kampanye pilkada di kubu AHY pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri,Agus-Sylvi,"[0.1, 0.2, 0.7]"
70,(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.,Agus-Sylvi,"[0.05, 0.15, 0.8]"
71,AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf,Agus-Sylvi,"[0.05, 0.1, 0.85]"
72,Ketika AHY kalah & berpidato semua timnya terdiam menangis lalu setelah itu mereka melepaskan diri dari pilkada DKI. @panca66 @bambangelf,Agus-Sylvi,"[0.05, 0.05, 0.9]"
73,sejujurnya penilaian subyektif saya terlalu cepat bila AHY 2019. Kalah di pilkada bukan modal tapi catatan negatif.,Agus-Sylvi,"[0.05, 0.1, 0.85]"
74,Tolak bajingan tengik AHY tukang sogok pemilih ini. Bangsat AHY ini sungguh berbahaya,Agus-Sylvi,"[0.0, 0.05, 0.95]"
75,tolak ahy yang berpolitik membawa agama #AHYMaininSARA,Agus-Sylvi,"[0.05, 0.1, 0.85]"
76,Astaga ini pendukung AHY tidak terima sekali dengan hasil survey harusnya jadi tolak acuan untuk lebih semangat #efeknontonmetro,Agus-Sylvi,"[0.1, 0.2, 0.7]"
77,Sah-sah aja Justru itu menjadi tolak ukur kedewasaan warga dki kalo AHY menang artinya pola pikir warga masih primitif.. #PolitikUangAHY,Agus-Sylvi,"[0.0, 0.05, 0.95]"
78,Suara Warga Cuma Dihargai SEMBAKO TOLAK AHY Sudah melakukan penyuapan kepada warga @Abaaah @MurtadhaOne @RinjaniJB @fariz1234 @ananghijau,Agus-Sylvi,"[0.0, 0.05, 0.95]"
79,Sejak AHY tidak ikut pilkada lagi sudah tidak asyik ya,Agus-Sylvi,"[0.75, 0.2, 0.05]"
80,tinggal seleksi tendemnya. Di pilkada DKI AHY kalah karena tendemnya salah pilih. Malah mengurangi kualitas AHY,Agus-Sylvi,"[0.05, 0.15, 0.8]"
81,Ternyata segelintir pendukung AHY merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung Anies-Sandi #Pilkada,Agus-Sylvi,"[0.1, 0.2, 0.7]"
82,AHY Menanggung Akibat Cuitan Ayahnya yang Tak Produktif.,Agus-Sylvi,"[0.05, 0.15, 0.8]"
83,kering sudah darah @ahy saatnya menghisap darah @anisandi mumpung stok darahnya bergudang-gudang darah hantu diminum setan #pilkadadki,Agus-Sylvi,"[0.05, 0.1, 0.85]"
84,Sebenarnya reaksi pendukung AHY ini tak perlu bersikap Baper seperti itu karena tak ada yang mau jadi pecundang di ajang Pilkada #PilkadaDK,Agus-Sylvi,"[0.1, 0.2, 0.7]"
85,Dengan Suara Bergetar AHY Minta Maaf Sudah Kecewakan Pendukungnya. http://bit.ly/2kSOA2G #pilkadadki,Agus-Sylvi,"[0.05, 0.1, 0.85]"
86,AHY Kalah di Kandang Begini Respon Para Tetangga. http://bit.ly/2kpEDv4 #pilkadadki,Agus-Sylvi,"[0.05, 0.1, 0.85]"
87,lini pertahanan AHY rapuh debat efek aksi 112 efek dan Antasari efek #pilkadaDKI,Agus-Sylvi,"[0.05, 0.1, 0.85]"
88,Gagal di Pilkada DKI Jakarta AHY Diisukan Maju ke Pilgub Jatim https://goo.gl/fb/ECcmdW #headlines #politikbirokrasi #pilkadadki,Agus-Sylvi,"[0.05, 0.15, 0.8]"
89,AHOK melejit... Anies menanjak... AHY mengapung... #PilkadaDKI,Ahok-Djarot,"[0.8, 0.15, 0.05]"
90,Berdasarkan survey sementara AHY masuk 3 besar. Selamat! #PilkadaSerentak2017 #PilkadaDKI,Agus-Sylvi,"[0.85, 0.1, 0.05]"
91,Meninggalkan zona aman dan nyaman demi kemajuan Jakarta dengan hasil yang tak sesuai harapan - AHY #realitybites #PilkadaDKI,Agus-Sylvi,"[0.05, 0.15, 0.8]"
92,Kasihan AHY kalah walaupun sudah umroh dibantu doa 7 juta umat.Ternyata Allah itu netral tidak berpolitik #PilkadaDKI,Agus-Sylvi,"[0.05, 0.1, 0.85]"
93,Jual baju bekas AHY baru 3 bulan PM for info #PilkadaDKI @AgusYudhoyono,Agus-Sylvi,"[0.1, 0.8, 0.1]"
94,AHY siap siap jadi vocalis BAND rock yaaaa lompat lompat mulu bang kerjaannya #PilkadaDKI #QuickCount,Agus-Sylvi,"[0.05, 0.15, 0.8]"
95,Kasian benar nasib AHY karir tinggi di TNI harus tamat karena nafsu pepo. Selanjutnya paling cepat ikut parpol kalau tidak begitu dagang ak,Agus-Sylvi,"[0.1, 0.2, 0.7]"
96,Jangan sampai SBY berkata AHY kalah gara-gara Antasari ya? Survey kan sudah menunjukan AHY terus merosot elektabilitasnya #PilkadaDKI,Agus-Sylvi,"[0.05, 0.15, 0.8]"
97,Saya bertanya kepada Bapak Presiden TV saya rusak apa ya? Kok AHY tidak naik naik hasil QC sementara? #PilkadaDKI *GPP*,Agus-Sylvi,"[0.05, 0.15, 0.8]"
98,Pepo sampai saat ini kok belum menyatakan prihatin AHY jadi pecundang #pilkadaDKI #pilkadarasapilpres #Pilkada2017,Agus-Sylvi,"[0.05, 0.05, 0.9]"
99,Selamat datang AHY sebagai rakyat biasa setelah mundur dari TNI dan kalah di Pilkada DKI #pilkadaDKI #pilkadarasapilpres,Agus-Sylvi,"[0.05, 0.15, 0.8]"
100,heeebohhhh....Agus Sylvi kalah di TPS 6 tmpat @AgusYudhoyono menggunakan hak pilihnya... #PilkadaDKI #QuickCount #ahy,Agus-Sylvi,"[0.05, 0.1, 0.85]"
101,Yang pilih #AHY semoga tidak ikut demokrat yaa kalau benar mau dukung Ahok.,Agus-Sylvi,"[0.1, 0.8, 0.1]"
102,Demokrat ke Ahok Gerindra: Ini Tantangan karena Mereka Bermain Politik Kotor http://dlvr.it/NNsyDv,Agus-Sylvi,"[0.1, 0.2, 0.7]"
103,Mesin robot #AHY-Sylvi lupa dimatiin jadi masih masuk trending topik,Agus-Sylvi,"[0.05, 0.15, 0.8]"
104,Buat pendukung #AHY mari rapatkan barisan ke paslon #3 Buang issu miring paslon #3 Masih mau dipimpin seorang TERDAKWA? SIMULUT EMBER????,Agus-Sylvi,"[0.1, 0.8, 0.1]"
105,Harusnya rakyat menangis melihat #AHY KALAH. Bukan dari aspek #AHY sebagai pribadi tapi demi kepentingan rakyat sendiri. #TetapAHY,Agus-Sylvi,"[0.05, 0.1, 0.85]"
106,Maksud hati caper dari ahy/silvy eh malah kena protes dari mereka <FACE WITH STUCK-OUT TOUNGES> <Rolling on the Floor Laughing> <Rolling on the Floor Laughing>,Agus-Sylvi,"[0.05, 0.15, 0.8]"
107,AHY bisa kok menang pilgub DKI bisa.... Asal ngumpulin dulu 7 bola dragon ball <Rolling on the Floor Laughing> <Rolling on the Floor Laughing> #QuickCount #PilkadaDKI,Agus-Sylvi,"[0.05, 0.1, 0.85]"
108,Ah sekarang kalau lihat AHY jadi inget Norman Kamaru Apakah AHY akan jualan bubur? Lalu naik haji <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI,Agus-Sylvi,"[0.05, 0.15, 0.8]"
109,AHY kemungkinan besar tersingkir <Persevering Face> <Persevering Face> #PilkadaDKI hampir pasti dilanjuntukan di putaran kedua Ahok-Djarot vs Anies-Sandi.,Agus-Sylvi,"[0.05, 0.1, 0.85]"
110,AHY nyungsep orang bapaknya aja menyarankan coblos no 2 <Smiling Face With Open Mouth & Smiling Eyes> #PilkadaDKI,Agus-Sylvi,"[0.05, 0.05, 0.9]"
111,Mau nyoblos atau mau ke tempat berkabung. <Tongue> #Ahy memakai baju hitam2..atau lagi sedih <Smiling Face With Open Mouth & Smiling Eyes> #siapkalah di #Pilkadadki @Metro_TV,Agus-Sylvi,"[0.05, 0.1, 0.85]"
112,AHY Sangat Cemas Terhadap Situasi Sosial Usai Pilkada Jakarta: Pilkada DKI Jakarta berdampak negatif bukan hanyaâ€¦ http://dlvr.it/PGqY,Agus-Sylvi,"[0.1, 0.2, 0.7]"
113,AHY kalah.. Sisi negatif: Umat Islam tertunda dalam menempatkan pemimpin. Sisi positif: Umat Islam terhindar dari saling hujat & buka aib.,Agus-Sylvi,"[0.05, 0.1, 0.85]"
114,#DebatFinalPilkadaJKT AHY AHY Anda ngomong karakter.. Anda tau yang barusan Anda omongkan untuk melihat sisi negatif orang lain? <Tongue> <Oncoming Fist>,Agus-Sylvi,"[0.05, 0.15, 0.8]"
115,AHY hanya membicarakan negatif saja untuk Jakarta tidak ada solusi yang tepat untuk mengatasi nol besar. <Thumbs Down> #Debat1PilkadaDKI,Agus-Sylvi,"[0.05, 0.05, 0.9]"
116,Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY http://brt.st/5qQ7 via @beritasatu #JakartaAdalahKita,Agus-Sylvi,"[0.1, 0.2, 0.7]"
117,Ya Alloh Tuhan YME AHY ternyata didukung senator beraura negatif #SenatorDKIDukungAgusSylvi,Agus-Sylvi,"[0.05, 0.15, 0.8]"
118,menemukan Foto seperti ini Ternyata lingkaran orang2 AHY penuh masalah semua integritas dan kwalitas yang negatif Waspada.. Waspada.. <Thumbs Down>,Agus-Sylvi,"[0.05, 0.05, 0.9]"
119,wah si AHY 70% sentimennya negatif. Wkwkwk.<FACE WITH STUCK-OUT TOUNGES>,Agus-Sylvi,"[0.05, 0.1, 0.85]"
120,Senjata makan tuan aka karma @Beritasatu: #PopulerB1 2: Kicauan Negatif SBY Diyakini Pengaruhi Elektabilitas AHY <FACE WITH STUCK-OUT TOUNGES>,Agus-Sylvi,"[0.05, 0.1, 0.85]"
151,Doa ku.. Semoga suaranya mas Agus-Sylvi beneran ke #Badja #PilkadaDKI2017 yakin kan mas Agus.. Aku pada mu..,Agus-Sylvi,"[0.6, 0.3, 0.1]"
152,Terima kasih mas @AgusYudhoyono karenamu anak muda telah berani menyuarakan perubahan. Kami tetap bersamamu #YNWA,Agus-Sylvi,"[0.95, 0.05, 0.0]"
153,KETEMU DI ISTIQLAL Bangga Pernah Jadi Bagian Dari @AgusYudhoyono dan @sylviana_murni @ZaraZettiraZr @AhyCenter @SohibAHY,Agus-Sylvi,"[0.9, 0.1, 0.0]"
154,Tersingkir dari kancah pilkada DKI rupanya ada cara lain untuk mengangkat seseorang #AHY Mendunia,Agus-Sylvi,"[0.7, 0.2, 0.1]"
155,Dalam Pilkada DKI AHY juga mampu menunjukkan kualitasnya sebagai seorang pemimpin muda yang berjiwa ksatria. (AHY mendunia),Agus-Sylvi,"[0.9, 0.1, 0.0]"
156,usai pilkada DKI AHY keliling Nusantara merajut Persatuan #Indonesia bukan cuma Jakarta!,Agus-Sylvi,"[0.8, 0.2, 0.0]"
157,(12) AHY justru menitipkan pentingnya menjaga pluralisme kebangsaan dan kesatuan dalam persaingan Pilkada. Persatuan lebih penting.,Agus-Sylvi,"[0.9, 0.1, 0.0]"
158,AHY memang kalah di pilkada tetapi MENANG di hati rakyat.,Agus-Sylvi,"[0.85, 0.15, 0.0]"
159,Dari pada pendukung Ahok berantem terus. Mending kaya pendukung AHY membuat kopdar biar makin luas siapa tau jadi calon lagi,Ahok-Djarot,"[0.0, 0.2, 0.8]"
160,Menurut AHY Pilkada DKI memberi hikmah pelajaran ujian dan tantangan yang dapat ia ambil. Semua itu dapat mematangkan karakternya#AIMAN,Agus-Sylvi,"[0.85, 0.15, 0.0]"
161,@AgusYudhoyono Semangat terus Pak AHY faktor kekalahan pada pilkada waktu kemarin itu adalah wakil Pak AHY nanti maju lagi insyaAlloh.,Agus-Sylvi,"[0.6, 0.2, 0.2]"
162,kalau dilihat upaya Demokrat mengenalkan AHY cukup berhasil di Pilkada Jakarta dan sekarang AHY sudah mulai blusukan ke seluruh Indonesia,Agus-Sylvi,"[0.8, 0.2, 0.0]"
163,@AHY prinsip kepemimpinan memenangkan sebuah Pilkada belajar terus dan sangat dinamis. @hildathawilla @Panti_silaban,Agus-Sylvi,"[0.85, 0.15, 0.0]"
164,Pilihan warga jkt Mayoritas bukan pada ahok tapi calon selain ahok terbukti di dua putaran pilkada dki. Mayoritas memilih AHY dan Anies,Ahok-Djarot,"[0.0, 0.1, 0.9]"
165,Lewat Akun Instagram AHY Ucapkan Selamat Kepada Paslon Pemenang Pilkada DKI Jakarta,Agus-Sylvi,"[0.7, 0.3, 0.0]"
166,Menyeberangi Selat Malaka. Aiman KompasTV yang mendapat kesempatan pertama mewawancarai AHY usai Pilkada DKI @Rosianna766Hi,Agus-Sylvi,"[0.1, 0.8, 0.1]"
167,AHY Sebut Pilkada DKI Berjalan Bermartabat,Agus-Sylvi,"[0.7, 0.3, 0.0]"
168,Salam kagum buat AHY. Masih muda berani pensiun dini berani menantang ahok di pilkada disaat semua pada takut termasuk @ridwankamil,Agus-Sylvi,"[0.95, 0.05, 0.0]"
169,Pilkada DKI berdoa AHY menang. Mudah-mudahan Anies Sandi yang menang.,Agus-Sylvi,"[0.8, 0.2, 0.0]"
170,soal mental kalah Pilkada Indonesia harus berguru pada sosok AHY.,Agus-Sylvi,"[0.9, 0.1, 0.0]"
171,LSI telah membuktikan kejujuran surveynya pada pilkada DKI tahap1- ahokdjarot disurvey langsung kalah dan Ahy menang 1 putaran,Ahok-Djarot,"[0.0, 0.1, 0.9]"
172,sehabis pilkada pileg dan pilpres saya harap AHY menjadi ketua DPR @AgusYudhoyono,Agus-Sylvi,"[0.9, 0.1, 0.0]"
173,Sebentar lagi kita lupakan kegilaan pilkada DKI. Mari berlari bersama AHY. Kita mulai dari Kepri 23 April,Agus-Sylvi,"[0.9, 0.1, 0.0]"
181,tetap semangat dukung AHY-Sylvi sampai pilkada terlaksana yakin dan tentukan pilihan anda kepada yang pro rakyat.,Agus-Sylvi,"[0.9, 0.1, 0.0]"
182,Salah satu cara AHY-Silvy menang pilkada itu mudah. Ibu silvy naik mio tidak memakai helm keliling komplek saat pemilihan Dijamin pada segan,Agus-Sylvi,"[0.2, 0.7, 0.1]"
183,Maju terus AHY-Silvy dan Anies-Sandi BerSATU bersama menangkan pilkada DKI #pilihpemimpinmuslim #Debat2PilkadaDKI,Agus-Sylvi,"[0.9, 0.1, 0.0]"
184,Kita tunggu kualitas jiwa Anies Sandi..apa ucapan atas peran suara loyalis AHY-Silvy dalam kemenangan pilkada ini #BasukiKeokMasukBui,Anies-Sandi,"[0.6, 0.3, 0.1]"
185,Terimakasih AHY-SILVY tanpa kalian jakarta tidak akan mempunyai gubernur baru,Agus-Sylvi,"[0.8, 0.2, 0.0]"
186,saya lebih ke #AgusSilvy,Agus-Sylvi,"[0.9, 0.1, 0.0]"
187,Cakeeepppp....#bersatunya pendukung #AniesSandi dan #agussilvy,Anies-Sandi,"[0.9, 0.1, 0.0]"
188,Jangan lupa pilih paslon no. 1 #AgusSilvy #ForRI1 https://twitter.com/Ruchan_JKT48/status/830605267070902274,Agus-Sylvi,"[0.9, 0.1, 0.0]"
189,Sinyal Positif Agus-Sylvi Merapat ke Anies-Sandi #PilkadaDKIJakarta #agussilvy https://www.harianbernas.com/berita-32894-Sinyal-Positif,Agus-Sylvi,"[0.8, 0.2, 0.0]"
190,@ArainsanR @fadlizon @AhyFansclub @AniesSandiNo3 @Gerindra @PDemokrat SIAP RAPATKAN BARISAN SEMUA! SATU KOMANDO #agussilvy,Agus-Sylvi,"[0.9, 0.1, 0.0]"
191,@AhyFansclub Kalau putaran 2 SIAP RAPAT KAN BARISAN SEMUA ! SATU KOMANDO ! #aniessandi #agussilvy,Anies-Sandi,"[0.9, 0.1, 0.0]"
192,Mengakui kekalahan apapun itu tujuannya tapi great applause lah. Patut ditiru untuk demokrasi yang positif #AgusSilvy,Agus-Sylvi,"[0.95, 0.05, 0.0]"
193,Salut! @AgusYudhoyono & Mpok Silvy dengan mengakui kemenangan Paslon lain. #agussilvy #Salam2Jari #KitaNKRI #TetapSemangat #PilkadaDKI,Agus-Sylvi,"[0.95, 0.05, 0.0]"
194,baru quick count Ttp kalau hasil kpud benar sampai 2putaran SIAP RAPAT KAN BARISAN SEMUA! SATU KOMANDO! #aniessandi #agussilvy,Anies-Sandi,"[0.9, 0.1, 0.0]"
195,youtu.be/bxrZD69u61A tenang bening ..dan tulus. Mas Agus mungkin di masa yg akan datang yaa mas.. #apreciate #agussilvy,Agus-Sylvi,"[0.9, 0.1, 0.0]"
196,Mari beri masukan & kritik yang membangun bagi yang kalah dalam pertandingan. #PilkadaSerentak2017 #ahokdjarot #agussilvy #AniesSandi,Ahok-Djarot,"[0.1, 0.8, 0.1]"
197,Apapun hasilnya kau tetap kebanggaan kami #AgusSilvy,Agus-Sylvi,"[0.95, 0.05, 0.0]"
198,Ingat fokus dan menangkan #AHY #AgusYudhoyono #RakernasDemokrat2017 #DemokratKelilingNusantara @AgusYudhoyono @SBYudhoyono,Agus-Sylvi,"[0.9, 0.1, 0.0]"
199,Rakernas Partai Demokrat bersama AHY #ahy #partaidemokrat #lombok #gilitrawangan #mataramâ€¦ https://www.instagram.com/p/BTzMrEdliY4/,Agus-Sylvi,"[0.1, 0.8, 0.1]"
200,Alhamdulillah.... #AHY tersambut hangat mesra dan intim di NTB.,Agus-Sylvi,"[0.95, 0.05, 0.0]"
201,Ngawal Abang dulu keliling Ampenan #AHY #fkppi #kawal #bodyguard #military #myjob https://www.instagram.com/p/BTySqVcjLv5/,Agus-Sylvi,"[0.1, 0.8, 0.1]"
202,Ada apa dengan #AHY knp disetiap acara nya massa membludak?Krn rakyat melihat harapan utk AHY memimpin negara ini dimasa yg dtg. #AHYforAll,Agus-Sylvi,"[0.9, 0.1, 0.0]"
203,Kekalahan adalah sukses yg tertunda bukan untuk disesali tapi dijadikan pengalaman tuk lebih baik lagi di masa depan #AHY,Agus-Sylvi,"[0.9, 0.1, 0.0]"
204,Tandatangan petisi Stop Hoax dan Fitnah serta mendukung gerakan Kebebasan Pers tanpa Hoax dan fitnah. #AHY #Demokrat #demokratbersamarakyat,Agus-Sylvi,"[0.9, 0.1, 0.0]"
205,#AHY#Demi.Indonesia,Agus-Sylvi,"[0.9, 0.1, 0.0]"
206,mestinya ya begitu ya Gus....#AHY negarawan.,Agus-Sylvi,"[0.95, 0.05, 0.0]"
207,Demokrat dengan cinta untuk NKRI #AHY dan #Demokrat berbakti.,Agus-Sylvi,"[0.9, 0.1, 0.0]"
208,#Karanganbungaahok jagoan kalah duluan ...klu gitu #Ahy dong jagoannya bukan ahok,Ahok-Djarot,"[0.0, 0.1, 0.9]"
209,#ahy,Agus-Sylvi,"[0.1, 0.8, 0.1]"
210,Pesan #AHY jangan lupa gembira dan cinta Indonesia,Agus-Sylvi,"[0.9, 0.1, 0.0]"
211,Salam untuk kaum muda. Hormat pada yang tua. #AHY,Agus-Sylvi,"[0.8, 0.15, 0.05]"
212,#AHY#TheNextLeader#AHY#AdalahKita,Agus-Sylvi,"[0.9, 0.05, 0.05]"
213,Mau jalan di tempat atau berlari menyongsong masa depan dari sekarang? #AHY menyongsong masa depan,Agus-Sylvi,"[0.95, 0.05, 0.0]"
214,"Langkah ""Kuda"" Agus Yudhoyono -> https://goo.gl/95ldom #AHY #SBY #PartaiDemokrat #Pilakada #DKIJakarta",Agus-Sylvi,"[0.7, 0.25, 0.05]"
215,Datang tampak muka pulang tampak punggung. Terima kasih Kepri #DemokratKelilingNusantara #AHY,Agus-Sylvi,"[0.85, 0.1, 0.05]"
216,Aku pada #AHY pemimpin muda,Agus-Sylvi,"[0.8, 0.15, 0.05]"
217,"#AHY adalah Inspirasi Kaum Muda... ""GERAKAN INDONESIA MUDA"" menuju INDONESIA EMAS",Agus-Sylvi,"[0.95, 0.05, 0.0]"
218,Setia pada #AHY sebab politik Indonesia perlu ada regenerasi yg MATANG agar jgn ada lagi kutu loncat,Agus-Sylvi,"[0.85, 0.1, 0.05]"
219,#Setia HinggAHY akhir #Harapan #MasaDepanBangsa @PDemokrat @SBYudhoyono @hincapandjaitan @ranabaja @hariswijaya1975 @Edhie_Baskoro,Agus-Sylvi,"[0.95, 0.05, 0.0]"
220,#AHY menyapa #Selamatpagi INDONESIA @PDemokrat @SBYudhoyono @hincapandjaitan @edhiewibowo_55 @Edhie_Baskoro @isari68 @ranabaja,Agus-Sylvi,"[0.7, 0.25, 0.05]"
221,#AHY Harapan & masa dpn Bangsa @hincapandjaitan @SBYudhoyono @AgusYudhoyono @PDemokrat @hariswijaya1975 @ranabaja @isari68 @didiklpambudi,Agus-Sylvi,"[0.95, 0.05, 0.0]"
222,#Puisi Putri #AHY dan Para Wanita Penginspirasi http://obsessionnews.com/puisi-putri-ahy-dan-para-wanita-penginspirasi/ â€¦ #SBY #Demokrat,Agus-Sylvi,"[0.8, 0.15, 0.05]"
223,Keren #AHY,Agus-Sylvi,"[0.95, 0.05, 0.0]"
224,Wartawan tanya apa u Pilkada 2018 mendatang Mas @AgusYudhoyono akan ikut? Dijawab Mas #AHY sampai skg belum terpikir u ikut Pilkada lainnya,Agus-Sylvi,"[0.1, 0.8, 0.1]"
225,Mas Agus kasih kuliah umum nih #AHY,Agus-Sylvi,"[0.2, 0.7, 0.1]"
226,"Kuliah umum ""mahasiswa perspektif untuk masa depan"" #AHY (at UMRAH DOMPAK) â€”",Agus-Sylvi,"[0.7, 0.25, 0.05]"
227,insya allah tidak mendahului Tuhan..bakal ada yg nglamar #AHY ...,Agus-Sylvi,"[0.8, 0.15, 0.05]"
228,Hmmmm calon tokoh dunia #AHY,Agus-Sylvi,"[0.95, 0.05, 0.0]"
229,Kini #AHY Lebih Gembira,Agus-Sylvi,"[0.85, 0.1, 0.05]"
230,Terimakasih kpada pendukung #AHY yang tlah memberikan suaranya kepada @aniesbaswedan | @sandiuno #SemogaAmanah #JakartauntukRakyat,Agus-Sylvi,"[0.1, 0.8, 0.1]"
230,Terimakasih kpada pendukung #AHY yang tlah memberikan suaranya kepada @aniesbaswedan | @sandiuno #SemogaAmanah #JakartauntukRakyat,Anies-Sandi,"[0.85, 0.1, 0.05]"
231,bisa dipastikan sebagian besar voter #AHY akhirnya memilih @aniesbaswedan #pilkadaDKI #indonesia #saveNKRI,Agus-Sylvi,"[0.1, 0.8, 0.1]"
231,bisa dipastikan sebagian besar voter #AHY akhirnya memilih @aniesbaswedan #pilkadaDKI #indonesia #saveNKRI,Anies-Sandi,"[0.7, 0.25, 0.05]"
232,Dan kita tetap #AHY,Agus-Sylvi,"[0.9, 0.05, 0.05]"
233,Logikanya pemilih #AHY putaran ke1 dipastikan punya psikologis yang sama dengan pemilih paslon 3 mereka ingin gubernur baru di Jakarta.,Agus-Sylvi,"[0.1, 0.8, 0.1]"
233,Logikanya pemilih #AHY putaran ke1 dipastikan punya psikologis yang sama dengan pemilih paslon 3 mereka ingin gubernur baru di Jakarta.,Anies-Sandi,"[0.7, 0.25, 0.05]"
234,Suara pemilih #AHY pada putaran ke 1 terlihat memilih paslon no 3 pada puataran ke dua kali ini. Selamat Jakarta punya gubernur baru.,Agus-Sylvi,"[0.1, 0.8, 0.1]"
234,Suara pemilih #AHY pada putaran ke 1 terlihat memilih paslon no 3 pada puataran ke dua kali ini. Selamat Jakarta punya gubernur baru.,Anies-Sandi,"[0.9, 0.05, 0.05]"
