id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,hukum,Agus-Sylvi,0.0,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,ga,Agus-Sylvi,0.0,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,dukungan,Anies-Sandi,0.0128,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",otomatis dukungan nya,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,mas,Anies-Sandi,0.0342,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas #,1
19,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,ksatria,Anies-Sandi,0.0,dia,-3.0,"[0.0161, 0.0161, 0.9677]",! ksatria seperti,1
20,Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”,semula,Agus-Sylvi,0.0443,mirip,1.0,"[0.7692, 0.1923, 0.0385]",yg semula mirip,1
21,Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id,ide,Anies-Sandi,0.1615,miskin,-5.0,"[0.0098, 0.0098, 0.9804]",miskin ide sekarang,1
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,bumerang,Ahok-Djarot,0.0,jadi,-1.0,"[0.0385, 0.1923, 0.7692]",jadi bumerang gagal,1
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,suara,Ahok-Djarot,0.1107,dapat,-2.0,"[0.0238, 0.0238, 0.9524]",dapat suara #,1
27,Di manakah #AHY... Sang Ksatria Samurai Prajurit Pembangun semangat & harapan Pahlawan yg dinanti-nantikan rakyat itu...,harapan,Anies-Sandi,0.1204,semangat,4.0,"[0.9756, 0.0122, 0.0122]",& harapan pahlawan,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,rakyat,Anies-Sandi,0.0593,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",menyergap rakyat .,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,ketulusan,Agus-Sylvi,0.0031,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",mencari ketulusan ?,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,arena,Anies-Sandi,0.0,berada,4.0,"[0.9756, 0.0122, 0.0122]",luar arena tabir,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,harapan,Anies-Sandi,0.0,tiada,1.0,"[0.7692, 0.1923, 0.0385]",tiada harapan kembali,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,kini,Anies-Sandi,0.0,berada,4.0,"[0.9756, 0.0122, 0.0122]",kini ketika,1
29,@AdjieRimbawan isu lama diangkat lagi video lama dishare lagi padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi,putaranke2,Ahok-Djarot,0.0,jelang,3.0,"[0.9677, 0.0161, 0.0161]",# putaranke2 disebar,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,suara,Ahok-Djarot,0.323,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,dukungan,Ahok-Djarot,0.2074,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,pendukung,Ahok-Djarot,0.263,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #,1
34,Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?,ingusan,Anies-Sandi,0.0,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak ingusan dan,1
36,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,mekanisme,Agus-Sylvi,0.01,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",curiga mekanisme nya,1
36,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,dulu,Anies-Sandi,0.0655,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",curiga dulu saldo,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,pilihan,Ahok-Djarot,0.113,teratas,3.0,"[0.9677, 0.0161, 0.0161]",itu pilihan #,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,lagi2,Anies-Sandi,0.0039,teratas,3.0,"[0.9677, 0.0161, 0.0161]",teratas lagi2 itu,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,mayor,Agus-Sylvi,0.0047,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",sayang mayor #,1
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,pensiundini,Ahok-Djarot,0.0289,pilihan,5.0,"[0.9804, 0.0098, 0.0098]",# pensiundini,1
39,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,pembelaan,Anies-Sandi,0.0,mencari,3.0,"[0.9677, 0.0161, 0.0161]",mencari pembelaan #,1
39,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,kemrin,Ahok-Djarot,0.0,bersyukur,-5.0,"[0.0098, 0.0098, 0.9804]",bersyukur kemrin tidak,1
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,rakyat,Ahok-Djarot,0.1864,suara,-2.0,"[0.0238, 0.0238, 0.9524]",suara rakyat .,1
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,suara,Ahok-Djarot,0.192,ngerti,1.0,"[0.7692, 0.1923, 0.0385]",. suara rakyat,1
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,dulu,Ahok-Djarot,0.0,ngopi,3.0,"[0.9677, 0.0161, 0.0161]",ngopi dulu gih,1
42,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,teman,Anies-Sandi,0.0,cari,-3.0,"[0.0161, 0.0161, 0.9677]",cari teman kok,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,ahy,Ahok-Djarot,0.1376,ulama,3.0,"[0.9677, 0.0161, 0.0161]",# ahy,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,kesatria,Agus-Sylvi,0.0822,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",secara kesatria dan,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,lapang,Ahok-Djarot,0.0,kesatria,2.0,"[0.9524, 0.0238, 0.0238]",dan lapang dada,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,ulama,Ahok-Djarot,0.1042,menang,4.0,"[0.9756, 0.0122, 0.0122]",banyak ulama bayaran,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,bayaran,Ahok-Djarot,0.1007,ulama,3.0,"[0.9677, 0.0161, 0.0161]",ulama bayaran #,1
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy,dada,Ahok-Djarot,0.0,lapang,3.0,"[0.9677, 0.0161, 0.0161]",lapang dada ternyata,1
44,Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub,kepentingan,Anies-Sandi,0.0785,tersingkir,-5.0,"[0.0098, 0.0098, 0.9804]",untuk kepentingan kelompok,1
44,Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub,kelompok,Anies-Sandi,0.0502,kepentingan,5.0,"[0.9804, 0.0098, 0.0098]",kepentingan kelompok lewat,1
45,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,kesempatan,Ahok-Djarot,0.0,kehilangan,-4.0,"[0.0122, 0.0122, 0.9756]",kehilangan kesempatan untuk,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,mulut,Agus-Sylvi,0.0213,sama,3.0,"[0.9677, 0.0161, 0.0161]",sama mulut nya,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,anies,Anies-Sandi,0.6814,pilih,-2.0,"[0.0238, 0.0238, 0.9524]",pilih anies dengan,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,konstituen,Anies-Sandi,0.1793,sama,3.0,"[0.9677, 0.0161, 0.0161]",banyak konstituen #,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,khilafah,Anies-Sandi,0.1416,gerombolan,-4.0,"[0.0122, 0.0122, 0.9756]",gerombolan khilafah dibelakang,1
46,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,gerombolan,Anies-Sandi,0.1483,pilih,-2.0,"[0.0238, 0.0238, 0.9524]",dengan gerombolan khilafah,1
47,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,teman,Anies-Sandi,0.0,cari,-3.0,"[0.0161, 0.0161, 0.9677]",cari teman ni,1
47,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,keinginan,Anies-Sandi,0.2152,punya,3.0,"[0.9677, 0.0161, 0.0161]",punya keinginan sama,1
47,Cari teman ni yee.1dan3 punya keinginan sama Gubernur Baru...tunggu dlu hasil resmi KPU baru dengar pernyataan #AHY,pernyataan,Ahok-Djarot,0.1343,dengar,2.0,"[0.9524, 0.0238, 0.0238]",dengar pernyataan #,1
48,blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!,orang,Anies-Sandi,0.0744,minta,2.0,"[0.9524, 0.0238, 0.0238]",sama orang yang,1
48,blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!,suara,Ahok-Djarot,0.1984,butuh,-5.0,"[0.0098, 0.0098, 0.9804]",% suara dan,1
49,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,kpd,Anies-Sandi,0.0727,suara,2.0,"[0.9524, 0.0238, 0.0238]",% kpd orang2,1
49,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,suara,Ahok-Djarot,0.2122,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta suara 17,1
49,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,maki,Agus-Sylvi,0.1268,mencaci,-5.0,"[0.0098, 0.0098, 0.9804]",mencaci maki #,1
50,Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017,pemilih,Ahok-Djarot,0.3179,tinggi,3.0,"[0.9677, 0.0161, 0.0161]",daripada pemilih #,1
51,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,saat,Ahok-Djarot,0.1534,minta,2.0,"[0.9524, 0.0238, 0.0238]",ahy saat ini,1
51,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,relawan,Agus-Sylvi,0.1544,ada,4.0,"[0.9756, 0.0122, 0.0122]",merhatiin relawan #,1
51,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,islah,Anies-Sandi,0.0335,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada islah dengan,1
51,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,hal,Anies-Sandi,0.0,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada hal yang,1
52,#AHY pakar mantan sby Ini Surat Anas Urbaningrum Dari Jeruji Besi Sindiran Buat Mantan?,mantan,Agus-Sylvi,0.3348,pakar,-1.0,"[0.0385, 0.1923, 0.7692]",pakar mantan sby,1
52,#AHY pakar mantan sby Ini Surat Anas Urbaningrum Dari Jeruji Besi Sindiran Buat Mantan?,sby,Agus-Sylvi,0.323,mantan,-3.0,"[0.0161, 0.0161, 0.9677]",mantan sby ini,1
55,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?,disitu,Anies-Sandi,0.0,ada,-4.0,"[0.0122, 0.0122, 0.9756]",ada disitu yang,1
55,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?,bang,Anies-Sandi,0.0705,ada,-4.0,"[0.0122, 0.0122, 0.9756]",karena bang aji,1
56,Mungkin saya dengan rendah hati bisa meminta pendukung paslon 1 yang masih berat hati untuk melihat foto ini sejenak #AHY,hati,Agus-Sylvi,0.0167,"meminta,berat",1.0,"[0.7692, 0.1923, 0.0385]",rendah hati bisa,1
56,Mungkin saya dengan rendah hati bisa meminta pendukung paslon 1 yang masih berat hati untuk melihat foto ini sejenak #AHY,foto,Ahok-Djarot,0.074,melihat,3.0,"[0.9677, 0.0161, 0.0161]",melihat foto ini,1
56,Mungkin saya dengan rendah hati bisa meminta pendukung paslon 1 yang masih berat hati untuk melihat foto ini sejenak #AHY,paslon,Anies-Sandi,0.4655,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung paslon 1,1
56,Mungkin saya dengan rendah hati bisa meminta pendukung paslon 1 yang masih berat hati untuk melihat foto ini sejenak #AHY,pendukung,Anies-Sandi,0.3736,meminta,1.0,"[0.7692, 0.1923, 0.0385]",meminta pendukung paslon,1
57,Aku bangga jadi anak memo. #AHY #moshing,anak,Anies-Sandi,0.0,jadi,1.0,"[0.7692, 0.1923, 0.0385]",jadi anak memo,1
57,Aku bangga jadi anak memo. #AHY #moshing,memo,Anies-Sandi,0.0,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak memo .,1
60,anggap saja bisa sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy,tangan,Ahok-Djarot,0.0,pindah,1.0,"[0.7692, 0.1923, 0.0385]",pindah tangan ),1
61,#AHY antasari konferensi pers sby sby Konferensi Pers SBY seperti Rengekan Anak Kecil,pers,Anies-Sandi,0.1407,konferensi,2.0,"[0.9524, 0.0238, 0.0238]",konferensi pers sby,1
61,#AHY antasari konferensi pers sby sby Konferensi Pers SBY seperti Rengekan Anak Kecil,sby,Agus-Sylvi,0.2026,konferensi,2.0,"[0.9524, 0.0238, 0.0238]",pers sby sby,1
63,Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik,meme,Anies-Sandi,0.0666,membuat,-1.0,"[0.0385, 0.1923, 0.7692]",membuat meme dan,1
63,Coba beretika bila ingin dukungan dari konstituen setia #AHY. Jangan menipu dengan membuat meme dan berita palsu. Rachland Nashidik,konstituen,Agus-Sylvi,0.2743,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dari konstituen setia,1
64,Kasihan #AHY Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.,selfienya,Agus-Sylvi,0.0178,sarung,3.0,"[0.9677, 0.0161, 0.0161]",sarung selfienya sebagai,1
64,Kasihan #AHY Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.,musuh,Anies-Sandi,0.0912,ada,-4.0,"[0.0122, 0.0122, 0.9756]",ada musuh dalam,1
64,Kasihan #AHY Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.,motivasi,Agus-Sylvi,0.0,ada,-4.0,"[0.0122, 0.0122, 0.9756]",sebagai motivasi terselubung,1
64,Kasihan #AHY Tidak menyadari ada musuh dalam sarung Selfienya sebagai motivasi terselubung hmmm.,sarung,Agus-Sylvi,0.0511,musuh,4.0,"[0.9756, 0.0122, 0.0122]",dalam sarung selfienya,1
65,amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye..#AHY Sang Mayor Sejati,janji2,Agus-Sylvi,0.1087,lupa,-1.0,"[0.0385, 0.1923, 0.7692]",dengan janji2 manis,1
66,Pada Pilkada DKI AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.,fitnah,Agus-Sylvi,0.0459,hoax,-5.0,"[0.0098, 0.0098, 0.9804]",dan fitnah yang,1
66,Pada Pilkada DKI AHY dan SBY jadi target hoax dan fitnah yang dilakukan akun-akun pendukung Ahok.,target,Anies-Sandi,0.1554,jadi,1.0,"[0.7692, 0.1923, 0.0385]",jadi target hoax,1
67,AHY masih mentah tapi mau dikarbit demokrat melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja,sara,Agus-Sylvi,0.1341,sentimen,-3.0,"[0.0161, 0.0161, 0.9677]",sentimen sara saja,1
67,AHY masih mentah tapi mau dikarbit demokrat melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja,pilkada,Anies-Sandi,0.589,tahu,4.0,"[0.9756, 0.0122, 0.0122]",melihat pilkada dki,1
68,Akibat pernyataan Antasari suara AHY melorot pada Pilkada DKI.,pernyataan,Ahok-Djarot,0.2149,melorot,1.0,"[0.7692, 0.1923, 0.0385]",akibat pernyataan antasari,1
69,Enam bulan kampanye pilkada di kubu AHY pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri,kampanye,Anies-Sandi,0.4228,"serang,bulan",3.0,"[0.9677, 0.0161, 0.0161]",bulan kampanye pilkada,2
69,Enam bulan kampanye pilkada di kubu AHY pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri,pilkada,Anies-Sandi,0.454,kampanye,3.0,"[0.9677, 0.0161, 0.0161]",kampanye pilkada di,1
69,Enam bulan kampanye pilkada di kubu AHY pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri,bulan,Agus-Sylvi,0.2941,serang,4.0,"[0.9756, 0.0122, 0.0122]",enam bulan kampanye,1
69,Enam bulan kampanye pilkada di kubu AHY pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri,program,Anies-Sandi,0.2246,"serang,kampanye",7.0,"[0.9859, 0.007, 0.007]",serang program ahy,2
69,Enam bulan kampanye pilkada di kubu AHY pendukung Ahok sibuk serang program AHY. Tidak pernah mereka kampanye program Ahok sendiri,kubu,Ahok-Djarot,0.2953,bulan,-1.0,"[0.0385, 0.1923, 0.7692]",di kubu ahy,1
70,(13) namun apa yang dicontohkan AHY dan pendukungnya tak terjadi paska putaran kedua Pilkada DKI Jakarta. Perentangan menjadi semakin tajam.,paska,Anies-Sandi,0.1093,terjadi,-3.0,"[0.0161, 0.0161, 0.9677]",terjadi paska putaran,1
71,AHY dan Tim berjalan menjauh dari hiruk pikuk Pilkada. Melanjutkan perjalanan panjang politik mereka dengan rasa kecewa @panca66 @bambangelf,pikuk,Anies-Sandi,0.449,hiruk,1.0,"[0.7692, 0.1923, 0.0385]",hiruk pikuk pilkada,1
